Systematic Experiment Results - 2026-05-13 23:26:39.429083
================================================================================
[2026-05-14 04:03:07] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 224/2000, Time: 381.86s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7338, Precision: 0.6553, Recall: 0.5614, F1-Score: 0.6047, AUC-ROC: 0.7202
[2026-05-14 04:07:50] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 144/2000, Time: 274.35s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7434, Precision: 0.6488, Recall: 0.6374, F1-Score: 0.6431, AUC-ROC: 0.7605
[2026-05-14 04:14:43] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 246/2000, Time: 405.09s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7731, Precision: 0.7963, Recall: 0.5029, F1-Score: 0.6165, AUC-ROC: 0.7781
[2026-05-14 04:20:14] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 181/2000, Time: 322.99s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6310, Precision: 0.4928, Recall: 0.5994, F1-Score: 0.5409, AUC-ROC: 0.6572
[2026-05-14 04:27:13] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 69/2000, Time: 409.91s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6076, Precision: 0.4397, Recall: 0.2982, F1-Score: 0.3554, AUC-ROC: 0.5821
[2026-05-14 04:31:53] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 46/2000, Time: 271.69s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6585, Precision: 0.5459, Recall: 0.3480, F1-Score: 0.4250, AUC-ROC: 0.6936
[2026-05-14 04:45:04] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 149/2000, Time: 782.50s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5355, Precision: 0.3806, Recall: 0.4474, F1-Score: 0.4113, AUC-ROC: 0.5187
[2026-05-14 04:55:17] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 125/2000, Time: 604.99s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6448, Precision: 0.5150, Recall: 0.3509, F1-Score: 0.4174, AUC-ROC: 0.6430
[2026-05-14 05:10:14] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 182/2000, Time: 889.04s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6702, Precision: 0.5939, Recall: 0.2865, F1-Score: 0.3866, AUC-ROC: 0.6028
[2026-05-14 05:12:08] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 68/2000, Time: 106.05s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7116, Precision: 0.6367, Recall: 0.4766, F1-Score: 0.5452, AUC-ROC: 0.7435
[2026-05-14 05:17:19] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 224/2000, Time: 302.99s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7338, Precision: 0.6553, Recall: 0.5614, F1-Score: 0.6047, AUC-ROC: 0.7202
[2026-05-14 05:21:08] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 144/2000, Time: 221.13s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7434, Precision: 0.6488, Recall: 0.6374, F1-Score: 0.6431, AUC-ROC: 0.7605
