Systematic Experiment Results - 2026-05-13 21:42:55.333394
================================================================================
[2026-05-13 23:00:20] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 81/2000, Time: 474.48s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5429, Precision: 0.3807, Recall: 0.4152, F1-Score: 0.3972, AUC-ROC: 0.5283
[2026-05-13 23:00:56] RunID: 3, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 162/2000, Time: 29.58s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.6937, Precision: 0.6523, Recall: 0.8526, F1-Score: 0.7391, AUC-ROC: 0.7289
[2026-05-13 23:01:19] RunID: 4, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 109/2000, Time: 13.77s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.6450, Precision: 0.6030, Recall: 0.8845, F1-Score: 0.7171, AUC-ROC: 0.7152
[2026-05-13 23:01:49] RunID: 5, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 184/2000, Time: 21.53s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.6963, Precision: 0.6608, Recall: 0.8280, F1-Score: 0.7350, AUC-ROC: 0.7648
[2026-05-13 23:02:22] RunID: 1, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 202/2000, Time: 25.12s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8375, Precision: 0.8089, Recall: 0.8922, F1-Score: 0.8485, AUC-ROC: 0.8971
[2026-05-13 23:03:05] RunID: 2, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 274/2000, Time: 34.35s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8225, Precision: 0.8228, Recall: 0.8309, F1-Score: 0.8268, AUC-ROC: 0.9103
[2026-05-13 23:03:35] RunID: 3, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 178/2000, Time: 22.62s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8087, Precision: 0.7679, Recall: 0.8943, F1-Score: 0.8263, AUC-ROC: 0.8695
[2026-05-13 23:04:07] RunID: 4, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 183/2000, Time: 23.37s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.7775, Precision: 0.7441, Recall: 0.8575, F1-Score: 0.7968, AUC-ROC: 0.8319
[2026-05-13 23:04:38] RunID: 5, Mode: RotatE(with_inst), ST-Dim: 128, KG-Dim: 64, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 184/2000, Time: 23.52s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8375, Precision: 0.8126, Recall: 0.8845, F1-Score: 0.8471, AUC-ROC: 0.8958
[2026-05-13 23:07:36] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 74/2000, Time: 427.08s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6437, Precision: 0.5130, Recall: 0.3450, F1-Score: 0.4126, AUC-ROC: 0.6632
